Sweet-16 interpreter,442
HARVESTS10,0
HARVESTS8,3
HARVESTS6,3
HARVESTS4,3
HARVESTS2,2
HARVESTS,16
HARVEST,2
PLANT,9
PLANTS,16
>ZP,20
>.ZP,15
<ZP,23
<.ZP,13
>MEM,30
>.MEM,33
<MEM,36
<.MEM,0
USERVAR,21
MEMSIZ,4
DP,4
FENCE,4
SYMTAB,4
SP0,4
RP0,4
STARTUP,4
WARNING,4
BASE,4
FILENAME,4
SA#,4
DRV#,4
VMBUF,4
#BLK,4
SCR,4
BLK,4
IN,4
SPAN,4
EDITING,4
DPL,4
HLD,4
#LINE,4
#OUT,4
SCRPKT,4
UM*,64
UD/MOD,67
UM/MOD,72
AND,12
OR,12
XOR,12
NOT,12
2>R,7
>R,2
DUP>R,12
RDUP,0
RSWAP,11
RDROP,5
3OFF,3
COFF,5
ON,2
OFF,4
2OFF,8
ERASES,13
-,3
+,17
ABS,4
NEGATE,20
OVER,7
SWAP,19
TUCK,24
-ROT,12
NIP,4
?DUP,6
DUP,6
SLIP,10
+!,19
TOGGLE,19
COUNT,0
C@+,10
@+,17
CBIT!,11
CBIT@,10
TIB,5
SIB,5
-5,5
-4,5
-3,5
-2,5
BLK@,4
9,3
8,3
7,3
6,3
EIGHTY,3
FORTY,3
TEN,3
BL,3
L/SCR,3
5,3
4,3
3,3
2,3
1,5
?TERMINAL,6
ACC,0
0,0
FALSE,2
-1,0
TRUE,15
BETWEEN?,13
0=,2
0<>,11
0<,8
SUB16,12
<,13
0>,7
U<,5
DCMP,23
DU<,8
D=,32
(=),13
<>,2
=,14
D<,22
>,9
D>,9
D0=,9
TOS2MINUS,3
DECTOS,9
1-,4
3-,3
2-,5
2+,14
3+,4
2/,7
2*,7
ROT,31
THIRD,7
3DUP,11
UNDER,12
+UNDER,20
1+UNDER,9
ONEPLUNDERS,7
1-UNDER,15
3C@,21
3C!,19
FILL,31
ERASE,9
BLANK,9
-NULLS,3
-TRAILING,44
CMOVE,2
CMOVE>,87
MOVE,22
+MOVE,33
HERE,9
PAD,12
S>D,9
C>S,10
SGN,18
RANDU,32
RND,13
RANDOM,9
1+!,16
1-!,16
CHOOSE,11
>MINMAX,17
MIN,5
MAX,5
M*,67
M*/,0
*,6
/MOD,17
/,6
MOD,6
*/MOD,17
*/,6
PICK,18
ROLL,28
R>,12
DEPTH,9
>BIT,30
$!,13
!+,21
C!+,10
1+,6
inctos,7
VIDRAM,5
MON,7
XYZZY,3
CMDOFF,10
C@SWAP!,16
@SWAP!,17
PAUSE,30
?PAUSE,18
JIFFY@,17
JIFFIES,22
